0	1
0	2
0	3
0	4
0	5
0	6
0	7
0	8
0	9
0	10
0	11
0	12
0	13
0	14
0	15
0	16
0	17
0	18
0	19
0	20
0	21
0	22
0	23
0	24
0	25
0	26
0	27
0	28
0	29
0	30
0	31
0	32
0	33
0	34
0	35
0	36
0	37
0	38
0	39
0	40
0	41
0	42
0	43
0	44
0	45
0	46
1	0
1	5
1	20
3	0
3	12
3	41
3	55
4	0
4	8
4	14
4	15
4	18
4	27
4	72
4	80
5	0
5	1
5	20
6	0
6	21
6	98
7	0
8	0
8	4
8	38
8	46
8	72
8	85
9	0
10	0
10	12
10	16
10	30
11	0
12	0
12	3
12	10
12	16
12	29
12	38
12	41
12	55
14	0
14	4
14	19
15	0
15	4
15	27
15	80
16	0
16	10
16	12
16	18
16	30
16	38
16	89
17	0
17	19
17	26
17	28
17	95
18	0
18	4
18	16
18	30
18	89
20	0
20	1
20	5
21	0
21	6
21	52
21	91
22	0
22	29
23	0
24	0
24	28
24	38
25	0
26	0
26	17
27	0
27	4
27	13
27	15
28	0
28	17
28	24
28	38
29	0
29	12
29	22
29	38
30	0
30	10
30	12
30	16
30	18
30	83
31	0
32	0
32	90
32	92
33	0
34	0
35	0
36	0
36	39
36	43
37	0
37	13
38	0
38	8
38	12
38	16
38	24
38	28
38	29
38	46
38	89
39	0
39	36
40	0
40	43
41	0
41	3
41	12
42	0
43	0
43	36
43	40
44	0
45	0
46	0
46	8
46	38
47	0
48	0
49	0
50	0
50	19
51	0
52	0
52	21
52	63
52	67
53	0
53	16
53	17
53	24
53	28
53	67
54	0
55	0
55	3
55	12
56	0
56	58
57	0
57	58
57	59
57	60
58	0
58	57
59	0
59	57
59	58
59	60
60	0
60	57
60	58
60	59
61	0
61	58
62	0
63	0
63	21
63	52
64	0
64	84
65	0
66	0
67	0
67	52
67	53
68	0
69	0
70	0
71	0
72	0
72	4
72	8
73	0
74	0
74	4
75	0
76	0
77	0
77	4
78	0
79	0
80	0
80	4
81	0
82	0
83	0
83	8
83	12
83	16
83	24
83	28
83	30
83	85
84	0
84	64
85	0
85	8
85	12
85	24
85	28
85	83
86	0
87	0
88	0
89	0
89	12
89	16
89	18
89	28
89	38
90	0
90	32
91	0
91	21
92	0
92	32
93	0
94	0
95	17
95	96
95	97
95	98
95	99
97	95
98	6
98	95
99	95
